x,y
141.109,179.566
40.4362,178.921
-0.4379,178.3991
-1.6838,178.2417
-2.9001,177.9294
-4.0677,177.4671
-5.1682,176.8621
-6.1842,176.124
-7.0996,175.2643
-7.9001,174.2967
-8.573,173.2364
-9.1077,172.1001
-9.4958,170.9058
-9.7311,169.6722
-9.81,168.4189
-9.7311,167.1655
-9.4958,165.9319
-9.1077,164.7376
-8.573,163.6013
-7.9001,162.541
-7.0996,161.5734
-6.1842,160.7137
-5.1682,159.9756
-4.0677,159.3706
-2.9001,158.9083
-1.6838,158.596
-0.4379,158.4386
49.8878,158.4153
66.8151,158.2986
68.0315,157.9863
69.1991,157.524
70.2996,156.919
71.3155,156.1809
72.231,155.3212
73.0315,154.3536
73.7044,153.2933
74.2391,152.157
74.6271,150.9626
74.8624,149.7291
74.9413,148.4757
74.8624,147.2224
74.6271,145.9888
74.2391,144.7945
73.7044,143.6582
73.0315,142.5979
72.231,141.6303
71.3155,140.7706
70.2996,140.0325
69.1991,139.4275
68.0315,138.9652
66.8151,138.6529
65.5692,138.4955
55.9458,138.2663
0.2917,138.2755
-0.9542,138.1181
-2.1706,137.8058
-3.3382,137.3436
-4.4387,136.7386
-5.4547,136.0004
-6.3701,135.1407
-7.1706,134.1731
-7.8435,133.1128
-8.3782,131.9765
-8.7663,130.7822
-9.0016,129.5486
-9.0804,128.2953
-9.1879,105.301
-8.9526,104.0674
-8.5646,102.873
-8.0299,101.7367
-7.357,100.6764
-6.5565,99.7088
-5.641,98.8492
-4.6251,98.111
-3.5246,97.506
-2.357,97.0437
-1.1406,96.7314
0.1053,96.574
39.7572,96.6489
41.0031,96.8063
42.2194,97.1186
43.387,97.5809
44.4875,98.1859
45.5035,98.924
46.4189,99.7837
47.2194,100.7513
47.8923,101.8116
48.427,102.9479
48.8151,104.1423
49.0504,105.3758
49.1293,106.6292
49.1221,107.8386
49.2009,109.0919
49.4363,110.3255
49.8243,111.5199
50.359,112.6561
51.0319,113.7165
51.8324,114.6841
52.7478,115.5437
53.7638,116.2819
54.8643,116.8869
56.0319,117.3492
57.2483,117.6615
58.4942,117.8189
71.77,117.9362
73.0159,117.7788
74.2322,117.4665
75.3999,117.0042
76.5003,116.3992
77.5163,115.6611
78.4318,114.8014
79.2322,113.8338
79.9051,112.7735
80.4398,111.6372
80.8279,110.4429
81.0632,109.2093
81.1421,107.956
81.34,9.6911
81.2612,8.4378
81.0258,7.2042
80.6378,6.0099
80.1031,4.8736
79.4302,3.8133
78.6297,2.8457
77.7143,1.986
76.6983,1.2479
75.5978,0.6429
74.4302,0.1806
73.2138,-0.1317
71.9679,-0.2891
3.9777,-0.3766
2.7318,-0.534
1.5154,-0.8463
0.3478,-1.3086
-0.7527,-1.9136
-1.7686,-2.6518
-2.6841,-3.5114
-3.4846,-4.479
-4.1575,-5.5394
-4.6922,-6.6757
-5.0802,-7.87
-5.3156,-9.1036
-5.4581,-11.0417
-5.3156,-13.0079
-5.0802,-14.2415
-4.6922,-15.4359
-4.1575,-16.5721
-3.4846,-17.6325
-2.6841,-18.6001
-1.7686,-19.4597
-0.7527,-20.1979
0.3478,-20.8029
1.5154,-21.2652
2.7318,-21.5775
3.9777,-21.7349
69.1206,-22.0362
70.337,-22.3485
71.5046,-22.8108
72.6051,-23.4158
73.621,-24.1539
74.5365,-25.0136
75.337,-25.9812
76.0099,-27.0415
76.5446,-28.1778
76.9326,-29.3722
77.168,-30.6057
77.2468,-31.859
77.168,-33.1124
76.9326,-34.346
76.5446,-35.5403
76.0099,-36.6766
75.337,-37.7369
74.5365,-38.7045
73.621,-39.5642
72.6051,-40.3023
71.5046,-40.9073
70.337,-41.3696
69.1206,-41.6819
67.8747,-41.8393
26.4657,-42.0729
25.2291,-42.2909
24.035,-42.6789
